iter	Logloss
0	0.6860570045
1	0.6783583217
2	0.672331491
3	0.6645271761
4	0.656912564
5	0.650278084
6	0.643769596
7	0.6363699131
8	0.6301744551
9	0.6224337179
10	0.6161940091
11	0.609738188
12	0.6031903771
13	0.5974569206
14	0.5914389663
15	0.5873927235
16	0.5825126223
17	0.5769566327
18	0.57042223
19	0.5643298589
20	0.5583008874
21	0.5533112264
22	0.5478762439
23	0.5427484028
24	0.5368521382
25	0.5317211455
26	0.5260919123
27	0.5217165295
28	0.5156426622
29	0.5109764423
30	0.5059932573
31	0.5014101925
32	0.4965710849
33	0.492230847
34	0.4881604486
35	0.4832283964
36	0.4786330209
37	0.4750992213
38	0.4707892116
39	0.4666364226
40	0.4625789821
41	0.4590140816
42	0.454878363
43	0.4540380835
44	0.4510083783
45	0.4473766329
46	0.4433649582
47	0.4394010883
48	0.4365045397
49	0.4330694526
50	0.4296889719
51	0.4267014112
52	0.422986474
53	0.4199610569
54	0.4161430725
55	0.4127399304
56	0.4093165103
57	0.4055363042
58	0.4025413433
59	0.4001509913
60	0.3976690179
61	0.3945438676
62	0.3918662438
63	0.389098202
64	0.3866863163
65	0.3834526275
66	0.3803851098
67	0.3777793637
68	0.3750623295
69	0.3721862127
70	0.3701152205
71	0.367055296
72	0.3643366737
73	0.3623307594
74	0.3603483993
75	0.3578660277
76	0.3553147967
77	0.3535647633
78	0.3515588351
79	0.3492378432
80	0.3466220802
81	0.3442446497
82	0.3418058705
83	0.3398623329
84	0.3369690573
85	0.3355047936
86	0.3331755767
87	0.3324772686
88	0.3299576125
89	0.3280121877
90	0.326751567
91	0.3247852348
92	0.3229735183
93	0.3209725359
94	0.3197201091
95	0.3179073234
96	0.3158089557
97	0.3137999343
98	0.3117121347
99	0.3099668607
100	0.3081162866
101	0.3070079705
102	0.3055015401
103	0.3039191135
104	0.3022949339
105	0.3009780527
106	0.299158475
107	0.2974954918
108	0.2961032069
109	0.2945915941
110	0.2930992345
111	0.2915525966
112	0.2899846017
113	0.2890912333
114	0.2872210791
115	0.285839373
116	0.2839350499
117	0.2828979995
118	0.2814402555
119	0.2798415167
120	0.2786618514
121	0.2771001328
122	0.2760059556
123	0.2745273275
124	0.2730999833
