iter	Logloss
0	0.6838543112
1	0.6741480009
2	0.6654463874
3	0.6580833471
4	0.6495225672
5	0.6419617366
6	0.6327430483
7	0.6248451401
8	0.6183540324
9	0.6118796766
10	0.604402067
11	0.5986361177
12	0.5923047098
13	0.5855122401
14	0.5785860908
15	0.5721978011
16	0.5668022297
17	0.5642076481
18	0.5574658514
19	0.5505854245
20	0.5456386618
21	0.5394126163
22	0.5330728996
23	0.5277078675
24	0.5226903368
25	0.5171272375
26	0.5107706528
27	0.5057146495
28	0.5013809223
29	0.4955475838
30	0.4912470864
31	0.4877150947
32	0.4831533796
33	0.4777549096
34	0.4735021923
35	0.4696382321
36	0.4641639177
37	0.4588921791
38	0.4550208219
39	0.4510394156
40	0.4467861077
41	0.4428221404
42	0.4380142576
43	0.4335231598
44	0.4309625139
45	0.4269251395
46	0.4228088265
47	0.4189521488
48	0.4153700135
49	0.4110724175
50	0.4079457802
51	0.4039234966
52	0.3999111517
53	0.3960867305
54	0.3924066763
55	0.3894000636
56	0.3863793461
57	0.3836606052
58	0.3810374794
59	0.3779977329
60	0.375244534
61	0.3727581366
62	0.3694156031
63	0.3668763679
64	0.3649807872
65	0.3625423209
66	0.3594110639
67	0.3564213344
68	0.353750141
69	0.3507993144
70	0.3478064523
71	0.3447905534
72	0.3428929524
73	0.3405068268
74	0.3384986414
75	0.33583587
76	0.333496979
77	0.3314376324
78	0.3298063627
79	0.3276348284
80	0.3258676583
81	0.3237314514
82	0.3212067865
83	0.3183830951
84	0.316247619
85	0.3142217625
86	0.3128525533
87	0.3100798519
88	0.3083868211
89	0.3069749683
90	0.3049283408
91	0.302904936
92	0.3011568921
93	0.299177839
94	0.2977223424
95	0.2951020194
96	0.2934426287
97	0.2909700114
98	0.2897364981
99	0.2877512577
100	0.2863726051
101	0.2847504987
102	0.2831233184
103	0.2815201413
104	0.2800144479
105	0.2783097204
106	0.2767367934
107	0.2750631219
108	0.2738599004
109	0.2728926393
110	0.2711600112
111	0.2696310566
112	0.2682822391
113	0.2671000033
114	0.2655829602
115	0.2640905425
116	0.263697932
117	0.2625076902
118	0.2611454422
119	0.2599126728
120	0.258735585
121	0.2571595296
122	0.2561770787
123	0.2548887469
124	0.2534136153
125	0.2531775419
126	0.2521618737
127	0.2510683978
128	0.2500578603
129	0.248876696
130	0.24769385
131	0.2470097687
132	0.2457749617
133	0.2444897886
134	0.2429109975
135	0.2418410918
136	0.2403401847
137	0.2396946577
138	0.2386538163
139	0.2378535846
140	0.2371214941
141	0.2366941755
142	0.2357765671
143	0.2345571291
144	0.2330942353
145	0.2319743794
146	0.2308772268
147	0.2293016542
148	0.228623877
149	0.2275504696
150	0.226462396
151	0.2249658809
152	0.2238262494
153	0.2230579435
154	0.2221903896
155	0.2214328959
156	0.2204212485
157	0.2195325325
158	0.2186195758
159	0.2179924888
160	0.216896519
161	0.2161996341
162	0.2155029918
163	0.2148619478
164	0.213990634
165	0.2135630209
166	0.2126565058
167	0.2120949287
168	0.2111038572
169	0.2102155436
170	0.2092386266
171	0.2082491577
172	0.2071691126
173	0.2065444175
174	0.2056499715
175	0.2050200357
176	0.2043142658
177	0.2035309617
178	0.202924572
179	0.202126834
180	0.201465591
181	0.2009642923
182	0.2004919098
183	0.1996846848
184	0.1990657965
185	0.1983176581
186	0.1972337375
187	0.1965698247
188	0.1960984583
189	0.1951559749
190	0.1946330611
191	0.1936731029
192	0.1930565608
193	0.1923741422
194	0.1916459404
195	0.1907114653
196	0.1896767884
197	0.1889897133
198	0.1886003933
199	0.1878579345
200	0.1873862295
201	0.1867656486
202	0.1858203982
203	0.185167356
204	0.1847647994
205	0.1840931393
206	0.1832803021
207	0.1823381884
208	0.1819586612
209	0.1814497642
210	0.181093758
211	0.1804886924
212	0.1799634275
213	0.179178645
214	0.1787609723
215	0.1782955914
216	0.1776475987
217	0.1771172991
218	0.1761901923
219	0.1756946431
220	0.1752486906
221	0.1748518141
222	0.174314431
223	0.1735196298
224	0.1726036341
225	0.1722193741
226	0.1717720719
227	0.1713475269
228	0.1709361175
229	0.1703771148
230	0.1700887155
231	0.1695100307
232	0.1689658621
233	0.1682900131
234	0.1678701307
235	0.1674011264
236	0.1666156825
237	0.1659111166
238	0.1653213176
239	0.1645352257
240	0.1641072847
241	0.16349322
242	0.1627748186
243	0.1622388514
244	0.1620007039
245	0.1615404093
246	0.1611580082
247	0.1604271736
248	0.1600958825
249	0.1595323861
250	0.1590966875
251	0.1585239008
252	0.1579133404
253	0.1575611248
254	0.1569089836
255	0.1567514457
256	0.1560673172
257	0.1555284198
258	0.1551094816
259	0.154602824
260	0.1540404497
261	0.1537323809
262	0.1531909532
263	0.1527921404
264	0.1523581997
265	0.1518926791
266	0.1516388884
267	0.1512792135
268	0.1504857697
269	0.1502887321
270	0.1499076061
271	0.1493964869
272	0.1488290972
273	0.1483255414
274	0.1478426674
275	0.1473224388
276	0.1468546933
277	0.1463910114
278	0.1458437558
279	0.1454467286
280	0.1450567958
281	0.1446520081
282	0.144223778
283	0.1440156478
284	0.1435545236
285	0.1432375638
286	0.1427085293
287	0.1419746793
288	0.1416837191
289	0.1409806392
290	0.1404646556
291	0.1401863673
292	0.1397335069
293	0.1393015084
294	0.1389305728
295	0.1386704722
296	0.1383475321
297	0.1381882583
298	0.1379617837
299	0.1375359334
300	0.1369551532
301	0.1365314775
302	0.1363864314
303	0.1359057359
304	0.1356168978
305	0.1352522593
306	0.1348780763
307	0.1343998509
308	0.1340130554
309	0.1337653103
310	0.1334859111
311	0.1332858238
312	0.1330064704
313	0.1327687339
314	0.132555587
315	0.1322790108
316	0.1319920626
317	0.1318124347
318	0.1313426882
319	0.130933988
320	0.1303845491
321	0.1300244529
322	0.1296929644
323	0.1294476089
324	0.1290326689
325	0.1287411976
326	0.1284518824
327	0.1282851514
328	0.1281476634
329	0.1278721201
330	0.1274619172
331	0.1271603096
332	0.1269743175
333	0.1269275768
334	0.1265384989
335	0.1263149495
336	0.1261690499
337	0.1258989254
338	0.1253607981
339	0.1251197541
340	0.1245321455
341	0.1244685489
342	0.124243317
343	0.1240217409
344	0.1237379536
345	0.1235128758
346	0.1232196714
347	0.1230326397
348	0.1226741276
349	0.1225264054
350	0.122269613
351	0.1220075023
352	0.1216658643
