iter	RMSE
590	8414.403331
591	8401.805239
592	8397.704952
593	8385.130972
594	8381.406814
595	8363.273349
596	8349.438421
597	8327.233702
598	8304.30458
599	8286.724992
600	8266.595803
601	8262.462054
602	8252.375941
603	8240.523188
604	8224.382856
605	8219.088033
606	8203.015601
607	8194.740843
608	8184.105481
609	8162.30368
610	8147.609286
611	8134.759257
612	8128.014365
613	8116.376476
614	8096.266919
615	8085.817683
616	8067.268255
617	8062.031938
618	8043.68232
619	8027.473011
620	8014.530763
621	7997.947208
622	7989.636457
623	7981.282468
624	7961.719419
625	7955.995051
626	7951.377014
627	7947.876065
628	7946.692183
629	7933.487099
630	7921.604154
631	7906.197329
632	7887.956569
633	7873.66376
634	7851.711746
635	7844.146852
636	7837.095042
637	7818.929288
638	7804.855725
639	7798.868226
640	7794.647478
641	7777.506289
642	7769.099434
643	7753.329711
644	7740.726297
645	7721.00565
646	7711.775278
647	7700.657624
648	7691.222086
649	7673.733107
650	7663.250661
651	7647.70313
652	7637.080753
653	7623.754136
654	7610.787627
655	7591.408399
656	7580.069354
657	7567.04638
658	7557.536399
659	7540.750444
660	7533.168352
661	7528.261695
662	7512.395284
663	7508.884486
664	7499.54709
665	7493.338927
666	7484.804592
667	7473.00849
668	7457.020691
669	7442.687937
670	7438.373266
671	7424.009155
672	7415.088386
673	7408.593422
674	7396.274628
675	7384.985287
676	7375.929522
677	7372.241886
678	7368.673844
679	7357.154668
680	7347.792798
681	7335.236054
682	7319.080117
683	7305.280216
684	7297.766393
685	7292.62294
686	7289.379722
687	7274.899184
688	7256.352686
689	7240.531077
690	7234.553923
691	7227.685961
692	7219.505123
693	7208.045833
694	7195.050365
695	7187.537877
696	7174.036407
697	7163.664918
698	7157.064543
699	7145.066921
700	7129.24009
701	7123.340573
702	7109.389284
703	7096.04048
704	7082.093577
705	7064.940499
706	7056.471822
707	7054.105745
708	7049.848433
709	7026.787596
710	7014.819301
711	7000.38838
712	6996.461305
713	6994.974851
714	6979.939588
715	6973.343156
716	6966.859539
717	6959.59647
718	6949.740413
719	6932.577278
720	6924.448596
721	6915.421075
722	6911.565657
723	6898.866735
724	6884.938284
725	6868.218606
726	6858.799048
727	6849.559605
728	6842.470823
729	6833.11929
730	6819.174883
731	6807.477425
732	6795.676535
733	6787.035411
734	6774.960745
735	6760.002857
736	6752.421347
737	6744.83283
738	6730.334451
739	6722.769884
740	6709.901587
741	6695.369355
742	6688.579686
743	6676.405848
744	6667.898892
745	6653.376804
746	6637.651118
747	6629.533994
748	6616.98784
749	6604.305345
750	6598.004817
751	6590.156629
752	6576.626532
753	6569.325832
754	6557.927674
755	6548.153012
756	6540.244842
757	6534.601539
758	6527.078287
759	6514.769892
760	6504.930057
761	6495.295279
762	6482.783293
763	6471.433433
764	6470.038128
765	6461.18635
766	6457.324906
767	6444.395859
768	6436.400542
769	6423.238567
770	6420.052656
771	6409.676738
772	6398.866635
773	6394.052949
774	6382.683898
775	6374.715113
776	6360.960242
777	6344.530639
778	6331.042395
779	6322.083472
780	6310.603992
781	6301.029662
782	6295.379072
783	6285.561564
784	6281.363872
785	6270.111946
786	6261.760248
787	6254.300003
788	6248.540859
789	6241.429018
790	6226.080124
791	6216.181192
792	6205.821459
793	6197.81369
794	6188.234099
795	6181.482951
796	6168.501851
797	6162.503856
798	6157.00355
799	6153.440638
800	6146.654477
801	6133.33259
802	6121.574552
803	6119.318818
804	6111.694968
805	6103.436011
806	6099.222215
807	6088.504687
808	6084.937459
809	6078.609609
810	6076.417891
811	6069.340296
812	6059.118508
813	6054.679117
814	6037.915621
815	6032.816258
816	6022.759471
817	6016.391464
818	6007.845961
819	6003.726592
820	5993.44875
821	5987.756992
822	5971.947549
823	5961.894051
824	5952.809429
825	5949.813954
826	5946.085688
827	5932.598309
828	5925.556508
829	5916.39454
830	5903.529545
831	5897.69241
832	5894.576854
833	5891.883825
834	5880.356877
835	5875.290212
836	5864.937788
837	5853.486652
838	5841.307064
839	5836.411186
840	5827.260407
841	5818.664445
842	5809.562943
843	5800.97031
844	5787.514942
845	5786.660698
846	5780.532329
847	5772.307138
848	5764.478439
849	5759.406798
850	5755.74588
851	5745.961629
852	5735.636176
853	5726.623191
854	5721.733459
855	5710.070902
856	5699.248614
857	5691.632067
858	5676.654833
859	5671.588744
860	5662.546174
861	5661.424954
862	5650.510008
863	5641.465237
864	5630.430995
865	5622.474569
866	5616.093075
867	5608.505604
868	5600.084182
869	5598.793985
870	5584.732749
871	5583.814443
872	5569.483932
873	5562.249074
874	5553.997827
875	5545.803789
876	5540.487468
877	5535.546668
878	5528.326814
879	5519.478234
880	5509.866672
881	5501.973679
882	5497.286715
883	5490.46164
884	5484.334778
885	5471.607915
886	5467.757922
887	5456.915984
888	5451.244823
889	5443.024573
890	5436.124329
891	5428.740294
892	5422.84087
893	5415.783051
894	5406.035878
895	5395.082885
896	5387.860917
897	5375.781423
898	5369.585137
899	5364.239669
900	5356.09913
901	5351.13328
902	5341.888069
903	5336.182496
904	5331.583524
905	5324.104917
906	5319.710976
907	5318.618674
908	5309.321564
909	5303.958501
910	5289.711664
911	5279.813617
912	5279.105967
913	5271.132134
914	5266.181349
915	5259.71684
916	5251.840197
917	5246.533573
918	5242.927935
919	5232.144002
920	5221.688649
921	5221.242633
922	5217.226698
923	5209.369495
924	5205.074833
925	5194.876728
926	5190.06624
927	5183.791856
928	5178.543135
929	5169.814126
930	5158.5734
931	5154.59061
932	5149.154657
933	5141.887382
934	5139.827014
935	5133.914524
936	5130.079197
937	5127.468462
938	5127.028045
939	5120.771539
940	5110.862079
941	5101.727198
942	5092.257773
943	5091.699191
944	5085.617278
945	5076.391218
946	5069.400465
947	5061.61914
948	5056.817758
949	5046.523869
950	5036.553721
951	5036.095064
952	5027.916307
953	5022.453388
954	5013.412654
955	5007.606162
956	4998.661577
957	4993.963886
958	4984.186671
959	4982.109471
960	4976.351844
961	4969.941071
962	4962.670242
963	4962.164862
964	4954.627222
965	4945.978834
966	4937.202814
967	4930.564312
968	4924.267648
969	4923.840485
970	4918.909304
971	4914.200689
972	4909.455183
973	4903.500016
974	4896.863203
975	4893.428458
976	4885.192756
977	4878.695699
978	4870.148655
979	4858.558537
980	4855.984531
981	4846.826265
982	4843.996055
983	4837.800908
984	4828.149273
985	4819.898048
986	4808.473427
987	4802.897585
988	4800.150431
989	4792.293356
990	4784.224889
991	4779.190786
992	4769.686235
993	4766.58874
994	4758.883055
995	4753.410845
996	4745.936637
997	4738.052965
998	4731.935484
999	4726.19553
