iter	Logloss
0	0.6878334137
1	0.6828854924
2	0.6776364451
3	0.673014932
4	0.668048572
5	0.6635567901
6	0.6586687336
7	0.6536121402
8	0.6488876442
9	0.6442693605
10	0.6394460465
11	0.6351245571
12	0.6307706475
13	0.6265798325
14	0.6214665401
15	0.6170835893
16	0.6124027792
17	0.6080083855
18	0.6035648075
19	0.6004237509
20	0.59689947
21	0.5926930293
22	0.5886811039
23	0.584641572
24	0.580871297
25	0.5771106122
26	0.5727299408
27	0.5690849879
28	0.5651338908
29	0.5611757095
30	0.5579398969
31	0.5539517688
32	0.5501728515
33	0.5463075574
34	0.5426165067
35	0.5393945885
36	0.535662858
37	0.5321690253
38	0.528692921
39	0.5254436973
40	0.522857179
41	0.5189317014
42	0.5160750922
43	0.5129953504
44	0.5097650703
45	0.5071955191
46	0.5034261329
47	0.5008187799
48	0.4974108933
49	0.4945321965
50	0.4915412661
51	0.488556653
52	0.4856535154
53	0.4825998637
54	0.4798842404
55	0.4769803076
56	0.4739390424
57	0.4710914842
58	0.4678811536
59	0.4649376377
60	0.4618719319
61	0.4590013104
62	0.4560475904
63	0.4530630522
64	0.4510362217
65	0.4479850273
66	0.4454304926
67	0.4430277887
68	0.4403353653
69	0.4377150086
70	0.4352168502
71	0.4324231978
72	0.4299951305
73	0.427681648
74	0.4253356233
75	0.4230020598
76	0.4210377635
77	0.418693779
78	0.4163466844
79	0.4140102824
80	0.4119816015
81	0.4099570968
82	0.4087133719
83	0.4065100912
84	0.4038730049
85	0.401816188
86	0.3992384611
87	0.3968598457
88	0.3945958211
89	0.3927427596
90	0.3903157678
91	0.3884392837
92	0.3861363867
93	0.384643814
94	0.3823671637
95	0.3803126437
96	0.3783740641
97	0.3772696369
98	0.3758130073
99	0.3740050258
100	0.372411515
101	0.370309879
102	0.3684056667
103	0.3662889441
104	0.3648091411
105	0.3628465831
106	0.3613303507
107	0.3599118034
108	0.3580149223
109	0.3564288887
110	0.3547876574
111	0.3531310668
112	0.3517243703
113	0.3501764671
114	0.3486370037
115	0.3470512405
116	0.3457283467
117	0.3440537821
118	0.3429800163
119	0.342004227
120	0.3404328332
121	0.3391387541
122	0.3375629652
123	0.3361260152
124	0.334571602
125	0.3327776994
126	0.3314675337
127	0.3301875982
128	0.3288192456
129	0.3272641361
130	0.3265903464
131	0.3253593385
132	0.3240675368
133	0.3228936211
134	0.3216864741
135	0.3202174948
136	0.3188125631
137	0.3170871869
138	0.3158822752
139	0.3145274813
140	0.3133361286
141	0.3120646637
142	0.3107146608
143	0.3092009499
144	0.3079677257
145	0.3068618721
146	0.3055505457
