iter	MultiClass
236	0.9776449264
237	0.9772307108
238	0.9765881374
239	0.9761679975
240	0.9758963858
241	0.9755204709
242	0.9749765703
243	0.9746745527
244	0.9742528099
245	0.9739602224
246	0.9735183473
247	0.9730930808
248	0.9727523463
249	0.9721758846
250	0.9717877507
251	0.9714389379
252	0.97099867
253	0.9707078949
254	0.9701716773
255	0.9698313385
256	0.969259449
257	0.9690709202
258	0.9687500383
259	0.9684925865
260	0.9681290576
261	0.9676991298
262	0.9674928707
263	0.9670911536
264	0.9668137985
265	0.9665726014
266	0.966228221
267	0.9658862491
268	0.9655892703
269	0.965101254
270	0.9647350354
271	0.9645127294
272	0.9642207749
273	0.9639800087
274	0.9637329586
275	0.9630899802
276	0.9628335843
277	0.9623838664
278	0.9619163163
279	0.9613485252
280	0.9609288844
281	0.9606179346
282	0.9603234273
283	0.9598557801
284	0.9595711609
285	0.9593468977
286	0.9589339194
287	0.9584953167
288	0.9581676903
289	0.9579683901
290	0.9578113143
291	0.9574068922
292	0.9572079
293	0.9568124139
294	0.9563722881
295	0.9559804492
296	0.9554865909
297	0.9548403346
298	0.9546429796
299	0.9542372284
300	0.9539024652
301	0.9535077867
302	0.9530685708
303	0.9526604643
3304	0.9504253872
305	0.9502054785
306	0.9499157488
307	0.9495953317
308	0.9493652114
309	0.9490493026
310	0.9487559241
311	0.9486074189
312	0.948349296
313	0.9480949993
314	0.9478787293
315	0.947493221
316	0.947325422
317	0.9470818084
318	0.9466759927
319	0.9463411903
320	0.9462606858
321	0.9460013212
322	0.9456684084
323	0.9451791243
324	0.9447822369
325	0.9444943598
326	0.9441387626
327	0.9438339849
328	0.9435082204
329	0.9432674197
330	0.9429162243
331	0.9425777144
332	0.9421665907
333	0.9416835027
334	0.9415031145
335	0.9412773873
336	0.9410085447
337	0.9406603359
338	0.9401756716
339	0.9399746506
340	0.9397484499
341	0.9395080934
342	0.939299707
343	0.9389142812
344	0.9384630948
345	0.9381109532
346	0.9378677817
347	0.9376752878
348	0.9373790553
349	0.9369462572
350	0.9364025506
351	0.936083022
352	0.9359697389
353	0.9356655221
354	0.9354033004
355	0.9350420881
356	0.9348758773
357	0.9344672834
358	0.9338494189
359	0.9335860472
360	0.9334126944
361	0.9330410926
362	0.9328211467
363	0.9323757221
364	0.9319951335
365	0.9317538569
366	0.9314325521
367	0.9311623215
368	0.931026806
369	0.9306317861
370	0.9301618034
371	0.9299703709
372	0.9296596489
373	0.9292878468
374	0.9291422653
375	0.9286455703
376	0.9283575191
377	0.9280236439
378	0.9276832084
379	0.9275333999
380	0.9270930037
381	0.9268109523
382	0.9264889916
383	0.9261440403
384	0.9257374905
385	0.9254087318
386	0.9251518307
387	0.9248076752
388	0.9245894476
389	0.9242464536
390	0.9239541078
391	0.9236807431
392	0.9235139351
393	0.9233149636
394	0.92287395	0.395	0.92263396	0.396	0.92219397	0.397	0.9217387594
398	0.9215549166
399	0.921243648
400	0.9208476711
401	0.9204618808
402	0.9202441542
403	0.9199408618
404	0.9196016903
405	0.9191110069
406	0.9185895702
407	0.9183786406
408	0.918187819
409	0.9178505933
410	0.9174749049
411	0.9170640571
412	0.916902413	0.918007546
414	0.9177207386
415	0.9174781386
416	0.9172055093
417	0.9170075603
418	0.9166428447
419	0.9164806906
420	0420	0.914099421	0421	0.9138568707
422	0.9134889281
423	0.9132924116
424	0.9130693316
425	0.9127708801
426	0.9123492046
427	0.9120984794
428	0.9117119518
429	0.9111929196
430	0.9109649776
431	0.9105887614
432	0.9103775864
433	0.9101752173
434	0.9099344694
435	0.9096972169
436	0.9093338008
437	0.9090262574
438	0.9086691592
439	0.9083328424
440	0.9079564683
441	0.9076996468
442	0.9075608357
443	0.9074140805
444	0.9072038382
445	0.9069310046
446	0.9065491643
447	0.9063258769
448	0.9059920905
449	0.9058273229
450	0.9055546198
451	0.9053470456
452	0.9050240386
453	0.9047891234
454	0.9045412171
455	0.9041301728
456	0.9038155645
457	0.9036659242
458	0.9033831069
459	0.9030473052
460	0.9026896332
461	0.9024214271
462	0.9019991509
463	0.9017490779
464	0.9014916301
465	0.9011672002
466	0.9008380163
467	0.9006002735
468	0.9003711344
469	0.900026107
470	0.8996369245
471	0.8995008197
472	0.899258127
473	0.8989432268
474	0.8987698651
475	0.8983946707
476	0.8980042499
477	0.8977799549
478	0.8974543968
479	0.897230486
480	0.8967711285
481	0.8962999295
482	0.8961205705
483	0.895841582
484	0.8956753611
485	0.8954625508
486	0.8951826625
487	0.8949639843
488	0.894774948
489	0.8945922183
490	0.8942710233
491	0.8939749028
492	0.8937479643
493	0.8935143905
494	0.8932958424
495	0.893096364
496	0.8925283526
497	0.8924344377
498	0.8919901933
499	0.8918285025
500	0.8915954412
501	0.8911964363
502	0.8909816173
503	0.8908108679
504	0.8905346896
505	0.8903430901
506	0.8900755376
507	0.8898280159
508	0.8895456408
509	0.8892167262
510	0.8889715836
511	0.8887182326
512	0.8884882019
513	0.8883161052
514	0.8880641061
515	0.8878402786
516	0.8874362994
517	0.8870499643
518	0.8867462554
519	0.8865277022
520	0.8863345657
521	0.8861554817
522	0.8858974078
523	0.8856396999
524	0.8853041129
525	0.8849604653
526	0.8847466558
527	0.8845070984
528	0.8841630413
529	0.8838355893
530	0.8835071579
531	0.8832781111
532	0.882953954
533	0.8826775836
534	0.8824643674
535	0.8822373299
536	0.8819862901
537	0.8818577092
538	0.8815317259
539	0.8811628597
540	0.8808739847
541	0.8806379515
542	0.8803576154
543	0.8800950067
544	0.8798471301
545	0.8796908716
546	0.8794410564
547	0.8793335662
548	0.8791102256
549	0.8788344788
550	0.878587169
551	0.8782836189
552	0.8781012918
553	0.8778066121
554	0.8775328093
555	0.8773150435
556	0.8770581566
557	0.8769004589
558	0.8765818884
559	0.8762609263
560	0.8759143603
561	0.8756416162
562	0.8753006832
563	0.8749479107
564	0.8747151359
565	0.874461591
566	0.8742137296
567	0.8740638106
568	0.8737600465
569	0.8735495819
570	0.8733463859
571	0.8731384348
572	0.8729223447
573	0.8727100451
574	0.8725884274
575	0.8723375031
576	0.8722029273
577	0.8719768711
578	0.8718415306
579	0.871650821
580	0.8713340123
581	0.8711792745
582	0.8709312969
583	0.8706552544
584	0.8703096715
585	0.8701814422
586	0.8699161812
587	0.8696443091
588	0.8694317436
589	0.8692672221
590	0.8691436085
591	0.8686254554
592	0.868386323
593	0.8680315385
594	0.8678295903
595	0.8676349892
596	0.8672944615
597	0.8671106966
598	0.8668876883
599	0.8667322755
600	0.8664420646
601	0.8661935127
602	0.8658999216
603	0.8657162367
604	0.8653787627
605	0.8650355016
606	0.8647914509
607	0.8645320214
608	0.8643394745
609	0.864065662
610	0.8638475576
611	0.8636715906
612	0.8634174917
613	0.8632174307
614	0.8630970842
615	0.8628475981
616	0.8624704938
617	0.8623024657
618	0.8620811493
619	0.8618613956
620	0.861771629
621	0.8615301548
622	0.8613107746
623	0.8611155273
624	0.8608948516
625	0.8606657757
626	0.8605529854
627	0.860288704
628	0.8600038874
629	0.8597138406
630	0.8595459636
631	0.8591695623
632	0.8590360775
633	0.85874089
634	0.8585928363
635	0.8583143505
636	0.8581132392
637	0.8578152802
638	0.857607869
639	0.8573450451
640	0.8571354928
641	0.8568683438
642	0.8567716549
643	0.8564662554
644	0.8563983219
645	0.8562217543
646	0.8561024221
647	0.8558582863
648	0.8556296517
649	0.8554825245
650	0.8551620844
651	0.8548804613
652	0.8547604224
653	0.8545802317
654	0.8543421844
655	0.8541007253
656	0.8539776826
657	0.8537646624
658	0.8535517241
659	0.8534909928
660	0.8532152687
661	0.8530753899
662	0.8527961071
663	0.8526000299
664	0.8523343596
665	0.8521106829
666	0.8518565474
667	0.8515746545
668	0.8514550344
669	0.8513666385
670	0.8511021995
671	0.8509004193
672	0.8506644888
673	0.8504454009
674	0.8502176151
675	0.8500217058
676	0.8496732775
677	0.8493412488
678	0.8490570094
679	0.848789312
680	0.8486851773
681	0.8484270272
682	0.8482747328
683	0.8480571313
684	0.8477598266
685	0.8475749509
686	0.8474008587
687	0.8470860325
688	0.8469422273
689	0.8467034591
690	0.8464346525
691	0.8462413745
692	0.8460958737
693	0.8458295747
694	0.8457050299
695	0.8455074993
696	0.8453686544
697	0.8450873237
698	0.8448642937
699	0.8447298681
700	0.8445215325
701	0.8442310549
702	0.8440608186
703	0.8439093482
704	0.8437309298
705	0.8434566608
706	0.84331669
707	0.843108322
708	0.8428595779
709	0.8426634648
710	0.8423934529
711	0.8420656493
712	0.8417683648
713	0.841560672
714	0.8413831046
715	0.8412832082
716	0.841087446
717	0.8409419988
718	0.8406401697
719	0.8404715842
720	0.8402618902
721	0.8401012616
722	0.8400047285
723	0.8397436357
724	0.83955731
725	0.8393163899
726	0.8390630201
727	0.83887101
728	0.8384896909
729	0.8383875779
730	0.8380885697
731	0.8379052161
732	0.8376389053
733	0.8373852838
734	0.8372495407
735	0.8370658992
736	0.8368844288
737	0.8367619026
738	0.8366014213
739	0.8364103517
740	0.8361786051
741	0.8359838279
742	0.8357893829
743	0.8356080619
744	0.8353752607
745	0.8352151205
746	0.8351430872
747	0.8349025916
748	0.8346961428
749	0.8345430671
750	0.8342510136
751	0.8341204515
752	0.833908925
753	0.8335423578
754	0.833282727
755	0.833196549
756	0.8330145751
757	0.8329093531
758	0.8327167697
759	0.8326372441
760	0.8324965572
761	0.8322953653
762	0.8321134298
763	0.8319474753
764	0.8314709159
765	0.8312517434
766	0.8311179427
767	0.8309166371
768	0.8308114074
769	0.8305320975
770	0.8303230014
771	0.8301420836
772	0.8299268685
773	0.8298681026
774	0.8296160667
775	0.829440107
776	0.8292378644
777	0.829023242
778	0.8289300768
779	0.8288683113
780	0.8286733312
781	0.8284709201
782	0.8282082628
783	0.827925495
784	0.8276895381
785	0.8275452181
786	0.8273196494
787	0.8271030024
788	0.826915959
789	0.826687779
790	0.8265688879
791	0.8263039313
792	0.8260611345
793	0.8258716495
794	0.8257181998
795	0.8255570215
796	0.8254552274
797	0.8253370106
798	0.8251043139
799	0.8249181058
800	0.824757215
801	0.824547191
802	0.8243749357
803	0.8242637395
804	0.8241856244
805	0.8240163181
806	0.8237796926
807	0.8235090454
808	0.8233176785
809	0.8231265223
810	0.8228608178
811	0.8227476735
812	0.8225966431
813	0.8223431969
814	0.822206585
815	0.8221060794
816	0.8218814494
817	0.8215789844
818	0.8212444654
819	0.8210791892
820	0.8209024988
821	0.8206954166
822	0.8205258369
823	0.8203095622
824	0.8201208217
825	0.8199323098
826	0.8197252641
827	0.8195931161
828	0.8193962923
829	0.8192469554
830	0.8191892089
831	0.8190647437
832	0.8187387861
833	0.8185272304
834	0.8183328715
835	0.8182069594
836	0.8180105127
837	0.8178694355
838	0.8176699476
839	0.8174039327
840	0.8170538609
841	0.8168303711
842	0.8166146906
843	0.816400233
844	0.8160052606
845	0.8157991917
846	0.8156237222
847	0.8153831907
848	0.8151846635
849	0.8150062747
850	0.8148704841
851	0.814724345
852	0.8145697543
853	0.8143611371
854	0.8143051785
855	0.8141700911
856	0.8140016629
857	0.8137946481
858	0.8136247348
859	0.8134550991
860	0.8132197179
861	0.8129599602
862	0.8127453664
863	0.8125865106
864	0.8124136495
865	0.8121699164
866	0.8120095565
867	0.8117720274
868	0.8116567518
869	0.8115167743
870	0.8114348775
871	0.8111543313
872	0.8109939547
873	0.8107329692
874	0.8105071786
875	0.8102558174
876	0.8099525555
877	0.8096797428
878	0.8093691245
879	0.8091951794
880	0.8089847595
881	0.8087892331
882	0.8085796357
883	0.8083508629
884	0.8081264484
885	0.8080160638
886	0.8077704576
887	0.8076325245
888	0.8074404571
889	0.8072254345
890	0.806922363
891	0.8065913162
892	0.8064408905
893	0.8063306781
894	0.8060805252
895	0.8059027571
896	0.805803
897	0.8056463234
898	0.8054642115
899	0.8052431055
900	0.8050486632
901	0.8048954575
902	0.8047642316
903	0.8045200814
904	0.8042653077
905	0.8040922759
906	0.8038708314
907	0.8037377255
908	0.8035268413
909	0.8032815953
910	0.8030913239
911	0.8029225407
912	0.802862891
913	0.8026164132
914	0.802345068
915	0.8022427155
916	0.8018767975
917	0.8016635023
918	0.8014975305
919	0.801278725
920	0.8009254613
921	0.8007766315
922	0.8005923213
923	0.800431985
924	0.8003302828
925	0.8002589425
926	0.8001226922
927	0.800012518
928	0.7998292269
929	0.79966789
930	0.7994367049
931	0.7992693304
932	0.7991509792
933	0.7990675464
934	0.7989456068
935	0.79859088
936	0.7984491619
937	0.7983285555
938	0.7982126906
939	0.7980278402
940	0.7979116064
941	0.7978315645
942	0.7976554932
943	0.7975148608
944	0.7973295927
945	0.7972568038
946	0.7970864432
947	0.796892776
948	0.7967655957
949	0.796521471
950	0.7962881343
951	0.7960217921
952	0.795892632
953	0.7957184085
954	0.7954885401
955	0.7952227276
956	0.7951127409
957	0.7949459059
958	0.7946951624
959	0.7945644672
960	0.7942937473
961	0.7941614906
962	0.7939718616
963	0.7938745597
964	0.7937618162
965	0.7935398266
966	0.7933525639
967	0.7932617515
968	0.7931163748
969	0.7928437969
970	0.7926294801
971	0.7924417646
972	0.7923231368
973	0.7921363797
974	0.7918616537
975	0.7916547821
976	0.7914799742
977	0.7912359697
978	0.7911302121
979	0.7909901271
980	0.7909112061
981	0.7906853894
982	0.7904662461
983	0.790280038
984	0.7901256407
985	0.7899809355
986	0.7897234822
987	0.789571441
988	0.7894408788
989	0.7892716727
990	0.789095067
991	0.7889873808
992	0.7887727931
993	0.7886170424
994	0.7883960522
995	0.7881691662
996	0.7880755035
997	0.7879271573
998	0.7877764827
999	0.787604898
0.7832178628

