iter	Passed	Remaining
416	4772	6672
417	4778	6653
418	4818	6681
419	4824	6661
420	4827	6639
421	4830	6616
422	4834	6594
423	4838	6572
424	4841	6550
425	4845	6528
426	4848	65421	4817	6598
422	4826	6583
423	4833	6565
424	4839	6547
425	4844	6528
426	4864	6527
427	4870	6509
428	4876	6490
429	4882	6472
430	4889	6454
431	4895	6436
432	4905	6423
433	4913	6408
434	4919	6390
435	4925	6372
436	4931	6353
437	4937	6335
438	4944	6317
439	4952	6303
440	4960	6288
441	4966	6270
442	4974	6254
443	4986	6244
444	4992	6227
445	4999	6209
446	5005	6192
447	5018	6183
448	5033	6176
449	5038	6158
450	5043	6139
451	5046	6118
452	5050	6098
453	5053	6077
454	5056	6056
455	5060	6037
456	5063	6016
457	5067	5996
458	5069	5975
459465	5144	58460466	5159	58461467	5170	5878
468	5181	5866
469	5187	58464	5129	5901
465	5139	5889
466	5155	5884
467	5166	5872
468	5172	5856
469	5178	5839
470	5191	5830
471	5197	5814
472	5206	5801
473	5212	5784
474	5218	5768
475	5224	5751
476	5259	5766
477	5309	5798
478	5336	5804
479	5349	5795
480	5355	5778
481	5361	5761
482	5367	5744
483	5373	5728
484	5378	5711
485	5384	5694
486	5390	5678
487	5403	5669
488	5409	5653
489	5418	5639
490	5441	5640
491	5461	5639
492	5468	5623
493	5482	5615
494	5489	5600
495	5496	5584
496	5518	5585
497	5524	5568
498	5530	5552
499	5536	5536
500	5542	5520
501	5552	5508
502	5565	5498
503	5571	5483
504	5577	5467
505	5583	5451
506	5590	5435
507	5600	5424
508	5609	5410
509	5617	5396
510	5623	5381
511	5631	5367
512	5682	5394
513	5691	5381
514	5707	5374
515	5714	5360
516	5720	5344
517	5726	5328
518	5732	5313
519	5738	5297
520	5747	5283
521	5761	5275
522	5767	5259
523	5773	5244
524	5783	5232
525	5789	5217
526	5795	5201
527	5813	5197
528	5834	5194
529	5857	5194
530	5888	5200
531	5901	5191
532	5915	5182
533	5941	5184
534	5947	5168
535	5952	5153
536	5958	5137
537	5964	5122
538	5971	5107
539	5987	5100
540	5994	5085
541	6001	5071
542	6008	5056
543	6019	5046
544	6026	5031
545	6032	5016
546	6039	5001
547	6045	4986
548	6052	4972
549	6058	4956
550	6067	4944
551	6072	4928
552	6078	4913
553	6087	4901
554	6106	4895
555	6120	4887
556	6156	4896
557	6193	4905
558	6238	4921
559	6274	4930
560	6304	4933
561	6324	4929
562	6333	4915
563	6339	4900
564	6345	4885
565	6351	4869
566	6357	4855
567	6363	4839
568	6370	4825
569	6377	4811
570	6384	4796
571	6391	4782
572	6398	4767
573	6406	4754
574	6413	4740
575	6421	4727
576	6429	4713
577	6434	4697
578	6444	4685
579	6452	4672
580	6464	4661
581	6472	4648
582	6478	4633
583	6486	4620
584	6492	4605
585	6520	4606
586	6564	4618
587	6570	4603
588	6577	4590
589	6587	4577
590	6593	4562
591	6603	4550
592	6609	4536
593	6615	4521
594	6621	4507
595	6626	4491
596	6638	4481
597	6645	4467
598	6675	4468
599	6684	4456
600	6695	4444
601	6709	4436
602	6726	4428
603	6732	4414
604	6737	4398
605	6769	4401
606	6817	4413
607	6828	4402
608	6839	4391
609	6845	4376
610	6850	4361
611	6857	4347
612	6863	4332
613	6869	4318
614	6875	4303
615	6880	4289
616	6897	4281
617	6908	4270
618	6916	4256
619	6925	4244
620	6931	4230
621	6937	4215
622	6965	4214
623	6996	4215
624	7032	4219
625	7040	4206
626	7048	4193
627	7062	4183
628	7068	4168
629	7073	4154
630	7080	4140
631	7087	4127
632	7095	4113
633	7105	4101
634	7111	4087
635	7116	4073
636	7123	4059
637	7143	4053
638	7149	4038
639	7155	4024
640	7160	4010
641	7172	3999
642	7178	3985
643	7185	3972
644	7194	3960
645	7200	3945
646	7207	3932
647	7214	3919
648	7222	3906
649	7231	3893
650	7238	3880
651	7244	3866
652	7250	3852
653	7256	3838
654	7262	3825
655	7268	3811
656	7274	3797
657	7281	3784
658	7287	3771
659	7293	3757
660	7306	3747
661	7320	3737
662	7327	3724
663	7335	3711
664	7344	3699
665	7351	3686
666	7356	3672
667	7364	3660
668	7370	3646
669	7376	3633
670	7381	3619
671	7387	3605
672	7393	3592
673	7402	3580
674	7410	3567
675	7418	3555
676	7427	3543
677	7433	3530
678	7439	3516
679	7445	3503
680	7450	3490
681	7457	3477
682	7462	3463
683	7470	3451
684	7476	3438
685	7484	3425
686	7491	3412
687	7497	3399
688	7503	3387
689	7509	3373
690	7516	3361
691	7523	3348
692	7529	3335
693	7535	3322
694	7545	3311
695	7554	3299
696	7560	3286
697	7569	3274
698	7576	3262
699	7582	3249
700	7593	3238
701	7600	3226
702	7605	3213
703	7611	3200
704	7617	3187
705	7623	3174
706	7629	3161
707	7633	3148
708	7638	3135
709	7644	3122
710	7650	3109
711	7678	3105
712	7689	3095
713	7696	3082
714	7704	3070
715	7710	3058
716	7716	3045
717	7722	3033
718	7735	3023
719	7744	3011
720	7750	2999
721	7757	2986
722	7763	2974
723	7769	2961
724	7775	2949
725	7781	2936
726	7787	2924
727	7793	2911
728	7799	2899
729	7806	2887
730	7824	2879
731	7870	2881
732	7914	2883
733	7921	2870
734	7929	2858
735	7934	2846
736	7940	2833
737	7947	2821
738	7955	2809
739	7963	2797
740	7968	2785
741	7981	2775
742	7987	2762
743	7993	2750
744	7999	2738
745	8005	2725
746	8011	2713
747	8016	2700
748	8022	2688
749	8028	2676
750	8034	2663
751	8040	2651
752	8046	2639
753	8052	2627
754	8058	2614
755	8064	2602
756	8070	2590
757	8076	2578
758	8082	2566
759	8088	2554
760	8094	2542
